,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,NoOfContacts,PrevAttempts,Outcome,CarInsurance,Duration,age_group,duration_status,Month,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
0,0,3.0,0,0,1,0,0,2,0,0,0,70.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2.0,0,0,1,0,1,5,0,0,0,185.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
2,0,3.0,0,0,1,0,1,1,1,0,1,340.0,0.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
3,0,2.0,0,0,1,0,1,2,0,0,1,819.0,0.0,1,5,0,0,0,0,0,0,0,0,0,1,0,0
4,1,3.0,0,1,0,0,1,1,0,0,0,192.0,0.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
5,0,3.0,0,1,0,0,1,1,1,0,1,796.0,1.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
6,0,3.0,0,0,1,0,1,1,0,0,1,195.0,1.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
7,2,3.0,0,0,1,0,1,4,0,0,0,66.0,1.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
8,1,1.0,0,0,1,0,1,1,0,0,0,106.0,0.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
9,1,1.0,0,0,1,1,1,2,0,0,0,326.0,0.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
12,1,1.0,0,1,1,0,1,1,0,0,1,701.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
13,2,1.0,0,1,1,0,1,2,0,0,0,163.0,1.0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
14,0,1.0,0,1,0,0,1,8,12,2,1,276.0,0.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
15,0,3.0,0,0,0,0,1,1,3,0,1,131.0,4.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
16,0,1.0,0,0,1,0,0,3,4,2,0,92.0,1.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
18,1,1.0,0,1,1,0,1,1,2,0,1,451.0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
19,1,2.0,0,0,0,0,0,1,0,0,1,456.0,2.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
20,1,1.0,0,0,1,1,1,8,0,0,0,97.0,3.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23,1,1.0,0,1,0,0,1,1,2,1,1,304.0,4.0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
24,1,1.0,0,0,1,0,1,1,7,2,1,127.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
25,1,3.0,0,0,0,0,1,2,0,0,0,275.0,0.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
26,1,2.0,0,2,0,1,1,3,0,0,0,104.0,3.0,0,11,0,0,0,0,0,1,0,0,0,0,0,0
29,1,2.0,0,0,0,0,1,14,0,0,0,13.0,2.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
32,0,3.0,0,0,0,0,1,3,0,0,1,284.0,3.0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
33,2,3.0,0,0,0,0,1,2,0,0,0,383.0,1.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
34,0,1.0,0,1,1,0,1,7,0,0,0,39.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
35,1,1.0,0,0,1,0,1,1,0,0,0,506.0,1.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
36,1,1.0,0,0,1,1,1,3,0,0,0,987.0,1.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
38,2,2.0,0,0,1,0,1,3,0,0,1,640.0,2.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
39,1,1.0,0,0,1,1,1,3,0,0,0,70.0,1.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
40,1,1.0,0,2,1,0,1,2,0,0,0,129.0,1.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
41,1,1.0,0,0,1,0,1,1,0,0,0,134.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
42,0,3.0,0,1,0,0,1,1,0,0,1,699.0,1.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
43,1,1.0,0,1,1,0,1,1,1,0,1,432.0,1.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
44,1,3.0,0,0,0,0,1,1,0,0,0,36.0,3.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
46,2,1.0,0,0,1,0,1,1,0,0,1,761.0,2.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
47,2,2.0,0,0,0,0,1,2,0,0,1,1106.0,4.0,1,10,0,0,0,0,0,0,1,0,0,0,0,0
48,0,1.0,0,0,0,0,1,4,0,0,0,71.0,2.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
49,2,1.0,0,0,0,0,1,4,0,0,0,207.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
51,1,2.0,0,0,0,0,1,1,0,0,0,72.0,2.0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
52,1,1.0,0,2,1,1,1,1,0,0,1,454.0,2.0,1,11,0,0,0,0,0,0,0,1,0,0,0,0
53,1,1.0,0,2,0,0,0,3,0,0,1,351.0,4.0,1,5,0,0,0,0,0,0,1,0,0,0,0,0
54,1,1.0,0,0,0,1,1,1,0,0,0,124.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55,1,1.0,0,0,0,0,0,3,0,0,1,1420.0,1.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
56,1,1.0,0,0,1,0,1,1,5,0,0,283.0,1.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
57,2,1.0,0,0,0,1,1,1,1,0,0,92.0,2.0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
58,0,3.0,0,3,1,0,1,1,0,0,1,612.0,1.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
59,1,1.0,0,3,0,0,1,1,0,0,0,309.0,3.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
62,0,2.0,0,0,0,0,1,1,0,0,1,267.0,,0,8,0,0,0,0,0,0,0,0,0,1,0,0
65,1,3.0,0,0,0,0,1,1,0,0,1,295.0,3.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
66,0,1.0,0,1,0,0,1,1,0,0,0,25.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,1,3.0,0,0,1,0,1,1,0,0,0,185.0,0.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
68,1,1.0,0,1,1,0,1,1,0,0,1,135.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
69,1,3.0,0,2,1,0,1,1,0,0,0,316.0,3.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
70,1,3.0,0,0,1,0,1,2,0,0,1,1391.0,0.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
71,1,1.0,0,0,1,0,1,2,0,0,0,341.0,0.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
72,0,1.0,0,0,0,0,1,7,2,2,0,206.0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
75,2,1.0,0,2,0,0,1,1,1,0,1,169.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
76,1,3.0,0,0,1,0,1,1,1,2,0,181.0,1.0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
77,1,3.0,0,0,1,0,1,1,0,0,0,312.0,1.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
79,0,1.0,0,0,1,0,1,1,0,0,0,322.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
80,0,1.0,0,0,1,0,1,3,0,0,1,1257.0,2.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
81,1,3.0,0,0,0,0,1,6,0,0,0,57.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
82,1,1.0,0,0,1,1,1,2,0,0,1,289.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
84,1,2.0,0,0,0,0,1,2,0,0,1,1917.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
87,1,1.0,0,0,1,0,1,2,0,0,1,1207.0,1.0,1,5,0,0,0,0,0,0,0,0,1,0,0,0
88,0,1.0,0,0,1,0,1,3,6,2,0,460.0,1.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
89,0,1.0,0,0,0,0,1,1,0,0,1,1204.0,2.0,1,7,0,0,0,1,0,0,0,0,0,0,0,0
90,1,3.0,0,0,1,1,1,1,0,0,1,1201.0,3.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
92,2,2.0,0,0,1,0,1,4,0,0,0,112.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
93,2,1.0,0,0,1,0,0,2,0,0,0,220.0,2.0,0,11,0,0,0,0,0,0,0,0,1,0,0,0
94,1,1.0,0,0,1,0,1,3,0,0,0,160.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
95,1,3.0,0,0,0,0,1,12,0,0,0,63.0,2.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
96,2,3.0,0,0,0,1,1,2,0,0,0,251.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
97,0,3.0,0,0,0,0,1,1,0,0,1,539.0,1.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
98,1,2.0,0,2,0,0,0,5,0,0,0,46.0,2.0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
99,0,2.0,0,0,0,0,1,2,4,0,0,177.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100,1,3.0,0,0,0,0,1,4,0,0,0,76.0,1.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
101,1,1.0,0,2,1,0,1,2,0,0,1,1721.0,2.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
105,1,3.0,0,1,0,0,1,1,0,0,1,600.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
106,1,1.0,0,0,1,0,1,1,0,0,0,138.0,2.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
107,1,3.0,0,0,0,0,1,2,0,0,0,195.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
108,1,3.0,0,0,0,0,1,1,0,0,1,272.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
109,0,1.0,0,0,0,1,0,4,0,0,0,123.0,2.0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
110,1,1.0,0,0,1,0,1,4,0,0,1,494.0,3.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
111,1,1.0,0,2,0,0,1,2,0,0,1,160.0,2.0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
113,1,3.0,0,1,1,0,1,2,0,0,0,73.0,1.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
114,1,3.0,0,0,1,0,1,3,0,0,0,159.0,1.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
115,1,3.0,0,0,0,0,1,1,3,1,1,297.0,1.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
116,1,1.0,0,2,1,1,1,4,0,0,1,543.0,1.0,1,7,0,0,0,0,0,0,0,0,1,0,0,0
117,1,1.0,0,0,0,0,1,5,1,1,1,94.0,4.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
118,1,3.0,0,0,0,0,1,1,2,0,1,447.0,1.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
120,0,3.0,0,3,0,0,1,1,0,0,1,141.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
121,2,3.0,0,0,0,0,1,2,0,0,1,369.0,2.0,1,12,0,0,0,0,0,1,0,0,0,0,0,0
122,1,3.0,0,1,0,0,0,1,0,0,1,201.0,4.0,0,11,0,0,0,1,0,0,0,0,0,0,0,0
123,1,2.0,0,0,0,0,1,2,0,0,1,973.0,2.0,1,6,0,0,0,0,0,0,0,0,0,0,0,1
124,1,2.0,0,1,0,0,1,2,2,1,1,107.0,3.0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
125,2,2.0,0,0,0,1,1,5,0,0,0,161.0,3.0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
126,2,3.0,0,0,0,0,1,2,0,0,1,671.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
127,1,1.0,0,0,1,1,1,2,2,2,1,1258.0,2.0,1,11,0,0,1,0,0,0,0,0,0,0,0,0
128,0,3.0,0,2,0,0,1,1,0,0,1,1571.0,0.0,1,11,0,0,0,0,0,0,0,0,0,1,0,0
129,1,1.0,0,0,1,0,1,2,0,0,0,102.0,2.0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
130,1,3.0,0,0,0,1,0,3,0,0,0,246.0,3.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
131,1,3.0,0,1,0,0,1,1,0,0,1,893.0,2.0,1,12,0,0,0,0,0,1,0,0,0,0,0,0
132,1,3.0,0,3,0,0,1,1,0,0,0,432.0,4.0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
133,2,3.0,0,1,1,0,1,1,1,0,0,309.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
134,1,1.0,0,0,0,1,1,1,0,0,0,77.0,3.0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
135,1,1.0,0,0,0,0,1,1,4,2,1,293.0,2.0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
136,2,3.0,0,1,0,0,1,1,0,0,1,648.0,1.0,1,11,0,0,0,0,0,1,0,0,0,0,0,0
137,0,1.0,0,0,0,0,1,1,0,0,1,203.0,0.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
138,0,2.0,0,0,1,0,1,1,2,0,0,74.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
140,1,1.0,0,1,1,1,1,2,0,0,0,180.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
