,Age,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,PrevAttempts,Outcome,CarInsurance,Duration,age_group,duration_status,Month,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
0,32,0,3,0,0,1,0,0,28,jan,2,0,0,0,70.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,32,1,2,0,0,1,0,1,26,may,5,0,0,0,185.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
2,29,0,3,0,0,1,0,1,3,jun,1,1,0,1,340.0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
3,25,0,2,0,0,1,0,1,11,may,2,0,0,1,819.0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0
4,30,1,3,0,1,0,0,1,3,jun,1,0,0,0,192.0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
5,32,0,3,0,1,0,0,1,22,may,1,1,0,1,796.0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0
6,37,0,3,0,0,1,0,1,17,mar,1,0,0,1,195.0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
7,35,2,3,0,0,1,0,1,12,may,4,0,0,0,66.0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0
8,30,1,1,0,0,1,0,1,18,nov,1,0,0,0,106.0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
9,30,1,1,0,0,1,1,1,12,may,2,0,0,0,326.0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
12,44,1,1,0,1,1,0,1,27,jan,1,0,0,1,701.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
13,38,2,1,0,1,1,0,1,19,jun,2,0,0,0,163.0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0
14,25,0,1,0,1,0,0,1,29,jul,8,12,2,1,276.0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
15,61,0,3,0,0,0,0,1,12,aug,1,3,0,1,131.0,4,0,8,0,0,0,0,0,1,0,0,0,0,0,0
16,34,0,1,0,0,1,0,0,6,may,3,4,2,0,92.0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0
18,49,1,1,0,1,1,0,1,6,may,1,2,0,1,451.0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0
19,50,1,2,0,0,0,0,0,5,apr,1,0,0,1,456.0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0
20,57,1,1,0,0,1,1,1,18,jun,8,0,0,0,97.0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23,63,1,1,0,1,0,0,1,1,jul,1,2,1,1,304.0,4,0,7,0,0,0,0,0,0,1,0,0,0,0,0
24,60,1,1,0,0,1,0,1,9,feb,1,7,2,1,127.0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0
25,29,1,3,0,0,0,0,1,17,jul,2,0,0,0,275.0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
26,54,1,2,0,2,0,1,1,20,nov,3,0,0,0,104.0,3,0,11,0,0,0,0,0,1,0,0,0,0,0,0
29,42,1,2,0,0,0,0,1,20,jun,14,0,0,0,13.0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0
32,57,0,3,0,0,0,0,1,13,aug,3,0,0,1,284.0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,0
33,36,2,3,0,0,0,0,1,5,feb,2,0,0,0,383.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0
34,34,0,1,0,1,1,0,1,27,may,7,0,0,0,39.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
35,39,1,1,0,0,1,0,1,14,may,1,0,0,0,506.0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0
